 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
AXIAL_23_155b_J21504_Mkr33_SUPR_vent_F1112_PES02_INSITU_16S,J21504,Mkr33,SUPR,vent,F1112,PES02,INSITU,Marker 33,diffuse,1512,F1112,45.933121,-129.982332,5.7,22,140000,Axial,2023
AXIAL_23_156_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,oxycline,375,Niskin,45.933497,-130.013489,NA,NA,149000,Axial,2023
AXIAL_23_157_J21506_SoupyBSW_SUPR_background_F205_GFF_INSITU_18S,J21506,SoupyBSW,SUPR,background,F205,GFF,INSITU,Soupy background,background,1539,F205,45.93342603,-130.0132852,NA,NA,NA,Axial,2023
AXIAL_23_158_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,under plume,1530,Niskin,45.933497,-130.013489,NA,NA,95000,Axial,2023
AXIAL_23_159_J21506_SoupyBSW_SUPR_background_F112_PES02_INSITU_18S,J21506,SoupyBSW,SUPR,background,F112,PES02,INSITU,Soupy background,background,1535,F112,45.93324609,-130.0138241,NA,2,NA,Axial,2023
AXIAL_23_160_J21504_Background_UFO_background_F716_sterivex_INSITU_18S,J21504,Background,UFO,background,F716,sterivex,INSITU,Background,background,1300,F716,45.9334015,-129.981957,NA,2.39,NA,Axial,2023
AXIAL_23_161_CTD004_IntlDist_CTD_plume_Niskin_sterivex_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,sterivex,SHIPBOARD,International District,peak plume,1498,Niskin,45.92638333,-129.9799667,NA,NA,52800,Axial,2023
AXIAL_23_162_J21503_Diva_SUPR_vent_F1214_PES02_INSITU_18S,J21503,Diva,SUPR,vent,F1214,PES02,INSITU,Diva,diffuse,1518,F1214,45.926378,-129.979065,NA,23,NA,Axial,2023
AXIAL_23_162b_J21503_Diva_SUPR_vent_F1214_PES02_INSITU_16S,J21503,Diva,SUPR,vent,F1214,PES02,INSITU,Diva,diffuse,1518,F1214,45.926378,-129.979065,NA,NA,NA,Axial,2023
AXIAL_23_163_Control_ControlTreatment_Lab_control_shipboard_PES02_SHIPBOARD_CTRL,Control,ControlTreatment,Lab,control,shipboard,PES02,SHIPBOARD,Lab control,control,0,shipboard,NA,NA,NA,NA,NA,Axial,2023
AXIAL_23_164_J21502_Mkr33_UFO_vent_F8_sterivex_INSITU_18S,J21502,Mkr33,UFO,vent,F8,sterivex,INSITU,Marker 33,diffuse,1510,F8,45.933121,-129.982332,NA,NA,NA,Axial,2023
AXIAL_23_165_CTD002_ASHES_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD002,ASHES,CTD,plume,Niskin,PES02,SHIPBOARD,ASHES,30m above,1467,Niskin,45.933497,-130.013489,NA,NA,116000,Axial,2023
AXIAL_23_166_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,30m above,1459,Niskin,45.92638333,-129.9799667,NA,NA,20500,Axial,2023
AXIAL_23_167_J21500_Anemone_UFO_vent_F101_sterivex_INSITU_18S,J21500,Anemone,UFO,vent,F101,sterivex,INSITU,Anemone,diffuse,1539,F101,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_168_J21500_Anemone_UFO_vent_F203_sterivex_INSITU_18S,J21500,Anemone,UFO,vent,F203,sterivex,INSITU,Anemone,diffuse,1539,F203,45.933592,-130.014068,NA,23,NA,Axial,2023
AXIAL_23_169_J21500_Anemone_UFO_vent_BgreenBblueByellow_sterivex_SHIPBOARD_18S,J21500,Anemone,UFO,vent,BgreenBblueByellow,sterivex,SHIPBOARD,Anemone,diffuse,1538,BgreenBblueByellow,45.933592,-130.014068,NA,NA,124000,Axial,2023
AXIAL_23_170_J21500_Anemone_UFO_vent_Bbrownbred_sterivex_SHIPBOARD_18S,J21500,Anemone,UFO,vent,Bbrownbred,sterivex,SHIPBOARD,Anemone,diffuse,1539,Bbrownbred,45.933592,-130.014068,NA,NA,169000,Axial,2023
AXIAL_23_171_J21505_BagCity_SUPR_vent_F914_GFF_INSITU_18S,J21505,BagCity,SUPR,vent,F914,GFF,INSITU,Bag City,diffuse,1527,F914,45.916228,-129.989225,NA,NA,NA,Axial,2023
AXIAL_23_172_J21505_BagCity_SUPR_vent_F1015_GFF_INSITU_18S,J21505,BagCity,SUPR,vent,F1015,GFF,INSITU,Bag City,diffuse,1527,F1015,45.916228,-129.989225,NA,16,NA,Axial,2023
